"CodeCommande","CodePFF","FNature","Type Parure","Nature Parure","Carac Parure","FLieuAchat","FQuantite","quantite","FPrixUnitaire","prix unitaire","monnaie prix unitaire","FPrixGlobal","prix global","monnaie prix global","FOccasion"
470,376,"couverture de cheval","cheval","couverture","de cheval",,14,14,,,,,,,
472,377,"surplis","religieux","surplis",,,2,2,,,,,,,
473,378,"couverture de cheval","cheval","couverture","de cheval",,,,,,,,,,
474,379,"couverture de cheval","cheval","couverture","de cheval",,"?",,,,,,,,
478,380,"linteamentum pour la chambre","mobilier","linteamenta",,,,,,,,,,,
484,381,"couverture","mobilier","couverture",,,"?",,,,,,,,
487,382,"mappus","mobilier","nappe",,,21,21,,,,,,,
493,383,"linteamentum","mobilier","linteamenta",,,"?",,,,,,,,
498,384,"chausses","chausses","chausses",,,"?",,,,,,,,
499,385,"corset","intérieur","corset",,,1,1,,,,,,,
500,386,"doublure de couverture","doublure","couverture",,,1,1,,,,,,,
506,387,"garnement de robe","vêtement","garnement",,,8,8,,,,,,,
512,388,"mantel","extérieur","mantel",,,1,1,,,,,,,
513,389,"pourfil d'un gardecorps","pourfil","garde corps",,,1,1,,,,,,,"sert aussi pour les manches"
513,390,"manche de gardecorps","ajusté","garde corps","manche",,2,2,,,,,,,"sert aussi pour le pourfil"
519,391,"canevas","autre","canevas",,,,,,,,,,,
520,392,"chaperon","chausses","chausses",,,"?",,,,,,,,
522,393,"doublure de cape","doublure","cape",,,1,1,,,,,,,"1 pièce est utilisée"
523,394,"robe","vêtement","robe",,,1,1,,,,,,,
526,395,"plate","militaire","plate",,,"?",,,,,,,,
530,396,"doublure de corset","doublure","corset",,,1,1,,,,,,,
531,397,"doublure de cape","doublure","cape",,,1,1,,,,,,,
532,398,"canevas","autre","canevas",,,1,1,,,,,,,
534,399,"cuesus","autre","cuesus",,,24,24,,,,,,,
541,400,"mantilium","mobilier","mantil",,,,,,,,,,,
541,401,"manterius","extérieur","mantel",,,,,,,,,,,
543,403,"malecote","intérieur","malecotte",,,1,1,,,,,,,
546,404,"chausses","chausses","chausses",,,"?",,,,,,,,
548,405,"surcot","intérieur","surcot",,,1,1,,,,,,,
553,406,"chausses","chausses","chausses",,,,,,,,,,,
554,407,"doublure de cote armée","doublure","cotte d'armes",,,2,2,,,,,,,"sert aussi pour les écussons"
554,408,"écusson","autre","écusson",,,60,60,,,,,,,"sert aussi pour les cotes armée"
559,409,"chaperon","tête","chaperon",,,,,,,,,,,
561,410,"robe","vêtement","robe",,,1,1,,,,,,,
566,411,"robe","vêtement","robe",,,3,3,,,,,,,
566,412,"corset","intérieur","corset",,,3,3,,,,,,,
566,413,"corset","intérieur","corset",,,2,2,,,,,,,
567,414,"robe","vêtement","robe",,,"?",,,,,,,,"livrée le tissu est compté dans l'item"
568,415,"corset","intérieur","corset",,,1,1,,,,,,,
569,416,"robe","vêtement","robe",,,2,2,,,,,,,
570,417,"garnache","extérieur","garnache",,,1,1,,,,,,,"sert aussi pour des chausses"
570,418,"chausses","chausses","chausses",,,"?",,,,,,,,"sert aussi pour la garnache"
571,419,"chausses","chausses","chausses",,,"?",,,,,,,,
574,420,"linteamentum","mobilier","linteamenta",,,,,,,,,,,
575,421,"linteamentum","mobilier","linteamenta",,,8,8,,,,,,,
576,422,"pannorum linearum","mobilier","linteamenta",,,8,8,,,,,,,
577,423,"linteamentum","mobilier","linteamenta",,,,,,,,,,,
578,424,"tenture pour chambre","mobilier","tenture","chambre",,"?",,,,,,,,
580,425,"tenture","mobilier","tenture",,,,,,,,,,,
583,426,"bancheriis de sala","mobilier","banc",,,,,,,,,,,
584,427,"couverture","mobilier","couverture",,,2,2,,,,,,,
585,428,"garnache","extérieur","garnache",,,1,1,,,,,,,"sert aussi pour 4 paires de chausses et un corset"
585,429,"corset","intérieur","corset",,,1,1,,,,,,,"sert  pour 4 paires de chausses et une garnache"
585,430,"chausses","chausses","chausses",,,"4 paires",4,,,,,,,"sert aussi pour corset et garnache"
586,431,"chausses","chausses","chausses",,,"2 paires",2,,,,,,,
587,432,"banière aux armes de Savoie","militaire","bannière","aux armes de Savoie",,,,,,,,,,
588,433,"doublure de corset","doublure","corset",,,1,1,,,,,,,"sert aussi pour le chaperon"
588,434,"chaperon","tête","chaperon",,,1,1,,,,,,,"sert aussi pour le corset"
590,435,"doublure de robe","doublure","robe",,,3,3,,,,,,,"livrée"
591,436,"vaine pointe","mobilier","vainepointe",,,1,1,,,,,,,
593,437,"linteamentum","mobilier","linteamenta",,,4,4,,,,,,,
593,438,"linteamentum","mobilier","linteamenta",,,"4 paires",4,,,,,,,"sert à en réparer 4 autres"
593,439,"gipon","ajusté","gipon",,,3,3,,,,,,,
593,440,"surplis","religieux","surplis",,,1,1,,,,,,,
593,441,"surplis","religieux","surplis",,,1,1,,,,,,,
595,442,"cloche","extérieur","cloche",,,1,1,,,,,,,
597,443,"corset","intérieur","corset",,,1,1,,,,,,,
598,444,"corset","intérieur","corset",,,1,1,,,,,,,"sert aussi pour des grands chaperons"
598,445,"grand chaperon","tête","chaperon","grand",,,,,,,,,,"sert aussi pour le corset"
600,446,"courte pointe","mobilier","courtepointe",,,1,1,,,,,,,
602,447,"malecote","intérieur","malecotte",,,3,3,,,,,,,
603,448,"malecote","intérieur","malecotte",,,6,6,,,,,,,
604,449,"malecote","intérieur","malecotte",,,1,1,,,,,,,"sert aussi pour le corset et les chausses"
604,450,"corset","intérieur","corset",,,1,1,,,,,,,"sert aussi pour la malecote et les chausses"
604,451,"chausses","chausses","chausses",,,,,,,,,,,"sert aussi pour la malecote et le corset"
605,452,"doublure de mantel","doublure","mantel",,,1,1,,,,,,,"sert aussi pour une cote"
605,453,"cote","intérieur","cotte",,,1,1,,,,,,,"sert aussi pour une doublure de mantel"
606,454,"cloche","extérieur","cloche",,,1,1,,,,,,,
610,455,"chausses","chausses","chausses",,,"6 paires",6,,,,,,,
614,456,"parement de cheval","cheval","parement","de cheval",,1,1,,,,,,,
614,457,"armoiries","autre","armoiries",,,,,,,,,,,
614,458,"doublure de parement de cheval","doublure","parement","de cheval",,,,,,,,,,
622,459,"parement de cheval","cheval","parement","de cheval",,15,15,,,,,,,"sert aussi pour les croix sur une plate"
622,460,"croix","autre","armoiries","croix",,,,,,,,,,"sert aussi pour les parements"
623,461,"croix","autre","armoiries","croix",,,,,,,,,,
624,462,"courtine","mobilier","courtine",,,,,,,,,,,"sert à d'autre objet du mobilier"
624,463,"d'autre objet de mobilier","mobilier","mobilier",,,,,,,,,,,"sert aussi pour des courtines"
631,464,"doublure de garnache","doublure","garnache",,,2,2,,,,,,,
632,465,"surcot","intérieur","surcot",,,4,4,,,,,,,"Pâque"
633,466,"doublure de chaperon","doublure","chaperon",,,2,2,,,,,,,
634,467,"doublure de manches de surcot","doublure","surcot","manche",,,,,,,,,,
639,468,"coussin","mobilier","coussin",,,4,4,,,,,,,
640,469,"coperalibus","autre","coperalibus",,,2,2,,,,,,,"sert aussi pour 2 tuialliis"
640,470,"tuiallia","mobilier","tuaille",,,2,2,,,,,,,"sert aussi pour 2 corperalibus"
641,471,"braies","sous-vêtement","braies",,,6,6,,,,,,,
642,472,"linteamentum","mobilier","linteamenta",,,"20 paires",20,,,,,,,"sert pour 2 autre linteamentis et une couverture? de nuit"
642,473,"linteamentum","mobilier","linteamenta",,,2,2,,,,,,,"vert pour 20 paires linteamentis et une couverture? de nuit"
642,474,"couverture? de nuit","mobilier","couverture",,,1,1,,,,,,,"sert pour  autres linteamentis"
642,475,"linteamentum","mobilier","linteamenta",,,"6 paires",6,,,,,,,
642,476,"linteamentum","mobilier","linteamenta",,,"13 paires",13,,,,,,,
645,477,"pannorum lineorum","mobilier","linteamenta",,,,,,,,,,,
661,478,"selle de femme","cheval","selle","de femme",,1,1,,,,,,,
665,479,"corset","intérieur","corset",,,1,1,,,,,,,
666,480,"doublure de chaperon","doublure","chaperon",,,1,1,,,,,,,
671,481,"robe","vêtement","robe",,,1,1,,,,,,,"penthecote"
672,482,"chaperon","tête","chaperon",,,1,1,,,,,,,"penthecote"
673,483,"doublure de manches de corset","doublure","corset","manche",,,,,,,,,,
678,484,"doublure de corset","doublure","corset",,,1,1,,,,,,,
680,485,"selle","cheval","selle",,,1,1,,,,,,,
682,486,"doublet","ajusté","doublet",,,2,2,,,,,,,
686,487,"doublet","ajusté","doublet",,,2,2,,,,,,,
687,488,"braies","sous-vêtement","braies",,,4,4,,,,,,,
687,489,"linteamentum","mobilier","linteamenta",,,2,2,,,,,,,"sert aussi pour pedibus"
687,490,"pedibus","inconnue","pedibus",,,,,,,,,,,"sert aussi pour 2 linteamentis"
688,491,"chanconibus","inconnue","chanconibus",,,,,,,,,,,
689,492,"cote hardie","extérieur","Cotte-hardie",,,1,1,,,,,,,
689,493,"clamide","intérieur","clamide",,,1,1,,,,,,,
689,494,"couverture","mobilier","couverture",,,1,1,,,,,,,
689,495,"cote hardie","extérieur","Cotte-hardie",,,2,2,,,,,,,
693,496,"?","inconnue","inconnue",,,,,,,,,,,"le couturier touche l'ag et ensuite paie ouvrier 4s pou lui et ses valets"
695,497,"corset","intérieur","corset",,,1,1,,,,,,,
697,498,"bancheriis","mobilier","banc",,,3,3,,,,,,,
701,499,"amica","religieux","amict",,,1,1,,,,,,,
704,500,"palaris","inconnue","palaris",,,,,,,,,,,
706,501,"robe de trois garnements","vêtement","robe","trois garnements",,1,1,,,,,,,
706,502,"robe de deux garnements","vêtement","robe","deux garnements",,1,1,,,,,,,
706,503,"robe de trois garnements","vêtement","robe","trois garnements",,1,1,,,,,,,
706,504,"chausses","chausses","chausses",,,"5 paires",5,,,,,,,
707,505,"bonnet de bain","sous-vêtement","bonnet de bain",,,1,1,,,,,,,"réparé"
709,506,"doublure de couverture","doublure","couverture",,,1,1,,,,,,,
710,507,"coussin","mobilier","coussin",,,3,3,,,,,,,
711,508,"gipon","ajusté","gipon",,,1,1,,,,,,,
712,509,"doublure de mantel","doublure","mantel",,,2,2,,,,,,,
714,510,"mala tunica","intérieur","maletunique",,,2,2,,,,,,,
715,511,"mantel","extérieur","mantel",,,1,1,,,,,,,"sert aussi pour la male tunica"
716,512,"tunique","intérieur","tunique",,,1,1,,,,,,,"sert aussi pour un mantel"
716,513,"mantel","extérieur","mantel",,,1,1,,,,,,,"sert aussi pour la tunique"
717,514,"doublure de robe","doublure","robe",,,1,1,,,,,,,"facture se fait à rippaille"
721,515,"doublure de bomba","doublure","bombe",,,1,1,,,,,,,
724,516,"gipon","ajusté","gipon",,,1,1,,,,,,,
728,517,"robe","ajusté","gipon",,,1,1,,,,,,,
729,518,"robe","vêtement","robe",,,1,1,,,,,,,
731,519,"robe","vêtement","robe",,,1,1,,,,,,,
733,520,"robe","vêtement","robe",,,1,1,,,,,,,"livrée"
735,521,"robe","vêtement","robe",,,1,1,,,,,,,
741,522,"doublure de corset","doublure","corset",,,3,3,,,,,,,
744,523,"cloche","extérieur","cloche",,,1,1,,,,,,,
746,524,"malecote","intérieur","malecotte",,,1,1,,,,,,,
751,525,"croix","autre","armoiries","croix",,,,,,,,,,
752,526,"gipon","ajusté","gipon",,,2,2,,,,,,,
759,527,"robe","ajusté","robe",,,,,,,,,,,
760,528,"chausses","chausses","chausses",,,,,,,,,,,
761,529,"tunique","intérieur","tunique",,,1,1,,,,,,,
763,530,"robe de trois garnements","vêtement","robe","trois garnements",,1,1,,,,,,,"donné par Eduardi"
763,531,"doublure de chaperon","doublure","chaperon",,,,,,,,,,,"donné par Eduardi"
773,532,"arnesium","militaire","arnais",,,"plusieurs","plusieurs",,,,,,,
775,533,"coussin","mobilier","coussin",,,"plusieurs","plusieurs",,,,,,,
778,534,"robe","vêtement","robe",,,1,1,,,,,,,
779,535,"couverture","mobilier","couverture",,,3,3,,,,,,,
781,536,"couverture","mobilier","couverture",,,"plusieurs","plusieurs",,,,,,,
782,537,"robe","vêtement","robe",,,1,1,,,,,,,
783,538,"couverture de selle","cheval","couverture","selle",,1,1,,,,,,,
784,539,"chausses","chausses","chausses",,,,,,,,,,,
785,540,"cloche","extérieur","cloche",,,1,1,,,,,,,
786,541,"robe","vêtement","robe",,,5,5,,,,,,,
787,542,"doublure de couverture","doublure","couverture",,,5,5,,,,,,,
788,543,"robe","vêtement","robe",,,21,21,,,,,,,
790,544,"malecote","intérieur","malecotte",,,2,2,,,,,,,
794,545,"malecote","intérieur","malecotte",,,3,3,,,,,,,
795,546,"robe","vêtement","robe",,,1,1,,,,,,,
796,547,"panaillonem","militaire","pavillon",,,,,,,,,,,
797,548,"couverture de cheval","cheval","couverture","de cheval",,"?",,,,,,,,
798,549,"robe","vêtement","robe",,,2,2,,,,,,,
799,550,"bancheriis","mobilier","banc",,,,,,,,,,,
801,551,"bannière","militaire","bannière",,,"?",,,,,,,,"sert aussi pour la cote à armer"
801,552,"cote à armer","militaire","cotte d'armes",,,1,1,,,,,,,
802,553,"surplis","religieux","surplis",,,1,1,,,,,,,
804,554,"robe","vêtement","robe",,,"?",,,,,,,,
805,555,"chausses","chausses","chausses",,,"?",,,,,,,,
811,556,"malecote","intérieur","malecotte",,,4,4,,,,,,,
812,557,"mantel","extérieur","mantel",,,1,1,,,,,,,"sert aussi pour une malecote"
812,558,"malecote","intérieur","malecotte",,,1,1,,,,,,,"sert aussi pour un mantel"
814,559,"chausses","chausses","chausses",,,,,,,,,,,
819,560,"chaperon","tête","chaperon",,,2,2,,,,,,,
819,561,"doublure de mantel","doublure","mantel",,,1,1,,,,,,,
819,562,"chaperon","tête","chaperon",,,1,1,,,,,,,
822,563,"cloche","extérieur","cloche",,,2,2,,,,,,,
822,564,"corset","intérieur","corset",,,1,1,,,,,,,
822,565,"robe","vêtement","robe",,,1,1,,,,,,,
824,566,"courtine de la chapelle d'Eduardi à Chambéry","mobilier","courtine","de chapelle",,"?",,,,,,,,
824,567,"croix de la chapelle d'Eduardi à chambéry","autre","armoiries","croix",,,,,,,,,,
826,568,"robe","vêtement","robe",,,1,1,,,,,,,
826,569,"malecote","intérieur","malecotte",,,1,1,,,,,,,"sert aussi pour le mentel double"
826,570,"mantel double","extérieur","mantel","double",,1,1,,,,,,,"sert aussi pour la male cote"
826,571,"robe","vêtement","robe",,,1,1,,,,,,,
826,572,"mantel","extérieur","mantel",,,1,1,,,,,,,
826,573,"robe","vêtement","robe",,,1,1,,,,,,,
827,574,"doublure de malecote","doublure","malecotte",,,2,2,,,,,,,
828,575,"mantel double","extérieur","mantel","double",,1,1,,,,,,,
828,576,"chausses","chausses","chausses",,,,,,,,,,,
828,577,"chausses","chausses","chausses",,,,,,,,,,,
829,578,"robe","vêtement","robe",,,1,1,,,,,,,
830,579,"mantel double","extérieur","mantel","double",,1,1,,,,,,,
835,580,"doublure de parement pour cheval","doublure","parement","de cheval",,1,1,,,,,,,
835,581,"doublet","ajusté","doublet",,,1,1,,,,,,,
836,582,"doublure de surcot","intérieur","surcot",,,1,1,,,,,,,"don D'Eduardi"
837,583,"chausses","chausses","chausses",,,,,,,,,,,
838,584,"doublure de robe","doublure","robe",,,2,2,,,,,,,
839,585,"fourrure de chaperon","fourrure","chaperon",,,2,2,,,,"4S 4D gt","0 4 4","gros tournois",
841,586,"robes à quatre garnements","vêtement","robe","quatre garnements",,6,6,,,,,,,
843,587,"mantilium","mobilier","mantil",,,31,31,,,,,,,
844,588,"malecote","intérieur","malecotte",,,1,1,,,,,,,"sert aussi pour le mantel doublé"
844,589,"mantel double","extérieur","mantel","double",,1,1,,,,,,,"sert aussi pour la male cote"
850,590,"doublure de robe","doublure","robe",,,,,,,,,,,
851,591,"robe","vêtement","robe",,,1,1,,,,,,,
855,592,"surcot","intérieur","surcot",,,1,1,,,,,,,"sert aussi pour chausses et chaussures"
855,593,"chausses","chausses","chausses",,,,,,,,,,,"sert aussi pour surcot et chaussures"
855,594,"chaussures","chaussure","chaussure",,,,,,,,,,,"sert aussi pour chausses et surcot"
862,595,"couverture","mobilier","couverture",,"Douai",4,4,,,,,,,
864,596,"pourpoint","ajusté","pourpoint",,"Paris",1,1,,,,,,,
865,597,"pourpoint","ajusté","pourpoint",,"Paris",1,1,,,,,,,
866,598,"garnements d'été","vêtement","garnement","d'été","Paris ou Douai",3,3,,,,,,,
866,599,"doublure de mantel","doublure","mantel",,"Paris ou Douai",1,1,,,,,,,
866,600,"mantel","extérieur","mantel",,"Paris ou Douai",1,1,,,,,,,
866,601,"cape à mettre sur arnesium","militaire","cape","à mettre sur arnais","Paris ou Douai",1,1,,,,,,,"sert aussi pour chaperon"
866,602,"chaperon à mettre sur arnesium","militaire","chaperon","à mettre sur arnais","Paris ou Douai",1,1,,,,,,,"sert aussi pour la cape"
866,603,"doublure de corset","intérieur","corset",,"Paris ou Douai",1,1,,,,,,,
866,604,"corset d'été","intérieur","corset","d'été","Paris ou Douai",1,1,,,,,,,
866,605,"robe","vêtement","robe",,"Paris ou Douai",1,1,,,,,,,
867,606,"doublure de couvre-chef","doublure","couvre-chef",,"Paris ou Cambrais",1,1,,,,,,,
867,607,"doublure de mucia","doublure","mucia",,"Paris ou Cambrais",1,1,,,,,,,
867,608,"doublure de corset","doublure","corset",,"Paris ou Cambrais",1,1,,,,,,,
867,609,"doublure de chaperon","doublure","chaperon",,"Paris ou Cambrais",1,1,,,,,,,
867,610,"doublure de corset","doublure","corset",,"Paris ou Cambrais",1,1,,,,,,,
867,611,"doublure de corset","doublure","corset",,"Paris ou Cambrais",1,1,,,,,,,
870,612,"mantel double","extérieur","mantel","double","Arras",1,1,,,,,,,
870,613,"chaperon","tête","chaperon",,"Arras",1,1,,,,,,,
870,614,"chausses","chausses","chausses",,"Arras",,,,,,,,,
870,615,"chaperon","tête","chaperon",,"Arras",1,1,,,,,,,"sert aussi pour les chausses"
870,616,"chausses","chausses","chausses",,"Arras",,,,,,,,,"sert aussi pour le chaperon"
870,617,"robe","vêtement","robe",,"Arras",1,1,,,,,,,
870,618,"cote","intérieur","cotte",,"Arras",1,1,,,,,,,
871,619,"doublure de corset","doublure","corset",,"Arras",1,1,,,,,,,
873,620,"gipon","ajusté","gipon",,"Arras",2,2,,,,"72S 2D parisis","0 72 2","parisis",
874,621,"doublure de surcot","doublure","surcot",,"arras",1,1,,,,,,,
874,622,"chausses","chausses","chausses",,"Arras",,,,,,,,,
875,623,"malecote","intérieur","malecotte",,"Arras",1,1,,,,,,,"sert aussi pour les chausses"
875,624,"chausses","chausses","chausses",,"arras",,,,,,,,,"sert aussi pour la malecote"
877,625,"chausses","chausses","chausses",,"Douai","4 paires",4,,,,,,,
877,626,"doublure de malecote","doublure","malecotte",,"Douai",1,1,,,,,,,
886,627,"chape","religieux","chape",,"Paris",1,1,,,,,,,"sert aussi pour les manches et le chaperon"
886,628,"manche de chape","religieux","chape","manche","Paris","1 paire",1,,,,,,,"sert aussi pour la chape et le chaperon"
886,629,"chaperon","tête","chaperon",,"Paris",1,1,,,,,,,"sert aussi pour les manches et la chape"
887,630,"mantel","extérieur","mantel",,"Paris",1,1,,,,,,,"sert pour des chausses"
887,631,"chausses","chausses","chausses",,"Paris",,,,,,,,,"sert aussi pour le mantel"
887,632,"robe","vêtement","robe",,"Paris",1,1,,,,,,,
887,633,"balle à envelopper","emballage","balle",,"Paris",,,,,,,,,
887,634,"doublure de cote","doublure","cotte",,"Paris",1,1,,,,,,,
887,635,"gipon","ajusté","gipon",,"Paris",1,1,,,,,,,
887,636,"doublure de chaperon","doublure","chaperon",,"Paris",1,1,,,,,,,
887,637,"malecote","intérieur","malecotte",,"Paris",1,1,,,,,,,
887,638,"cote ardia de nuit","intérieur","Cotte-hardie","de nuit","Paris",1,1,,,,,,,
888,639,"pourfil de mantel","pourfil","mantel",,"Pont d'Ain",1,1,,,,,,,
890,640,"doublure de robe","doublure","robe",,,1,1,,,,,,,
895,641,"linteamentum","mobilier","linteamenta",,,,,,,,,,,
902,642,"doublure de chaperon","doublure","chaperon",,,7,7,,,,,,,
904,643,"mappus","mobilier","nappe",,,21,21,,,,,,,
907,644,"sac","emballage","sac",,,,,,,,,,,
908,645,"enveloppe à mappus","emballage","sac",,,,,,,,,,,
909,646,"miniorius","inconnue","miniorius",,,,,,,,,,,
911,647,"linteamentum","mobilier","linteamenta",,,,,,,,,,,
912,648,"linteamentum","mobilier","linteamenta",,,1,1,,,,,,,
917,649,"robe","vêtement","robe",,,15,15,,,,,,,
919,650,"linteamentum","mobilier","linteamenta",,,2,2,,,,,,,
921,651,"robe","vêtement","robe",,,1,1,,,,,,,"livrée"
925,652,"doublure de robe","doublure","robe",,,1,1,,,,,,,
925,653,"doublure de robe","doublure","robe",,,1,1,,,,,,,
925,654,"doublure de corset","intérieur","corset",,,1,1,,,,,,,
926,655,"?","inconnue","inconnue",,,,,,,,,,,
927,656,"doublure de corset","doublure","corset",,,1,1,,,,,,,
929,657,"tunique","intérieur","tunique",,,1,1,,,,,,,
929,658,"garnache","extérieur","garnache",,,1,1,,,,,,,
929,659,"cloche","extérieur","cloche",,,1,1,,,,,,,
930,660,"doublure de robe","doublure","robe",,,1,1,,,,,,,
931,661,"robe","vêtement","robe",,,1,1,,,,,,,"sert aussi pour une doublure de chaperon"
932,662,"doublure de chaperon","doublure","chaperon",,,1,1,,,,,,,"sert aussi pour une robe"
933,663,"décore de robe","broderie","broderie","robe",,,,,,,,,,
936,664,"doublet","ajusté","doublet",,,"plusieurs","plusieurs",,,,,,,
937,665,"linteamentum","mobilier","linteamenta",,,5,5,,,,,,,
937,666,"oreiller","mobilier","oreiller",,,8,8,,,,,,,
938,667,"chanconetis","inconnue","chanconetis",,,,,,,,,,,
940,668,"robe","vêtement","robe",,,1,1,,,,,,,"il est aller de Preysone à Versoyni"
942,669,"chausses","chausses","chausses",,,,,,,,,,,
944,670,"robe","vêtement","robe",,,1,1,,,,,,,"sert aussi pour des chausses"
944,671,"chausses","chausses","chausses",,,,,,,,,,,"sert aussi pour la robe"
952,672,"doublure de chaperon","doublure","chaperon",,,2,2,,,,,,,"sert aussi pour des chausses"
952,674,"chaperon","tête","chaperon",,,1,1,,,,,,,
952,675,"chausses","chausses","chausses",,,,,,,,,,,"sert aussi pour les doublures de chaperons"
959,676,"corset","intérieur","corset",,,1,1,,,,,,,
959,677,"garnement de robe","vêtement","garnement",,,40,40,,,,,,,
959,678,"mantel","extérieur","mantel",,,4,4,,,,,,,
959,679,"chaperon","tête","chaperon",,,8,8,,,,,,,
959,680,"chemise","sous-vêtement","chemise",,,6,6,,,,,,,
960,681,"accessoire de robe","mercerie","mercerie",,,4,4,,,,,,,
960,682,"pelisse","extérieur","pelisse",,,2,2,,,,,,,
960,683,"accessoire de chaperon","mercerie","mercerie",,,4,4,,,,,,,
960,684,"robe","vêtement","robe",,,1,1,"6S v esp","0 6 0","viennois à l'éperon","6S v esp","0 6 0","viennois à l'éperon",
961,685,"couverture de matelas","mobilier","couverture","de matelas",,,,,,,,,,"sert aussi pour les coussins"
961,686,"couverture de coussins","mobilier","couverture","de coussin",,,,,,,,,,"sert aussi pour les matelas"
961,687,"robe entière partitée","vêtement","robe","entier et partité",,3,3,,,,,,,
961,688,"robe entière","vêtement","robe","entier",,2,2,,,,,,,
961,689,"robe entière partitée","vêtement","robe","entier et partité",,2,2,,,,,,,"livrée"
961,690,"robe","vêtement","robe",,,1,1,,,,,,,
961,691,"cote","intérieur","cotte",,,2,2,,,,,,,"livrée"
961,692,"corset","intérieur","corset",,,2,2,,,,,,,
961,693,"cote","intérieur","cotte",,,2,2,,,,,,,
961,694,"cote partitée","intérieur","cotte","partité",,2,2,,,,,,,
961,695,"robe entière","vêtement","robe","partité",,1,1,,,,,,,
961,696,"cote","intérieur","cotte",,,1,1,,,,,,,
961,697,"cote partitée","intérieur","cotte","partité",,2,2,,,,,,,
964,698,"chausses","chausses","chausses",,,,,,,,,,,
965,699,"chausses","chausses","chausses",,,,,,,,,,,
966,700,"chausses","chausses","chausses",,,,,,,,,,,
966,701,"doublure de chaperon","doublure","chaperon",,,1,1,,,,,,,
966,702,"robe entière","vêtement","robe","entier",,1,1,,,,,,,
966,703,"cote","intérieur","cotte",,,1,1,,,,,,,
967,704,"cote","intérieur","cotte",,,1,1,,,,,,,
970,705,"doublure de robe","doublure","robe",,,,,,,,,,,"nativité"
970,706,"cote","intérieur","cotte",,,2,2,,,,,,,"nativité"
970,707,"mantel","extérieur","mantel",,,2,2,,,,,,,"nativité"
970,708,"chaperon doublé","tête","chaperon","doublé",,2,2,,,,,,,"nativité"
970,709,"chaperon doublé","tête","chaperon","doublé",,2,2,,,,,,,"nativité"
970,710,"cote partité","intérieur","cotte","partité",,3,3,,,,,,,"nativité"
970,711,"d'autre chose","inconnue","inconnue",,,,,,,,,,,
974,712,"chausses","chausses","chausses",,,,,,,,,,,
975,713,"couverture de selle","cheval","couverture","de selle",,1,1,,,,,,,
976,714,"chausses","chausses","chausses",,,,,,,,,,,
977,715,"doublet","ajusté","doublet",,,1,1,,,,,,,
980,716,"coussin","mobilier","coussin",,,,,,,,,,,
986,717,"robe","vêtement","robe",,,"plusieurs","plusieurs",,,,,,,
987,718,"couverture de cheval","cheval","couverture","de cheval",,"plusieurs","plusieurs",,,,,,,
991,719,"doublure de robe","doublure","robe",,,,,,,,,,,
992,720,"surcot","intérieur","surcot",,,1,1,,,,,,,
993,721,"droderie sur des robes","broderie","broderie","robe",,,,,,,,,,
996,722,"robe","vêtement","robe",,,"?",,,,,,,,
999,723,"panillonum","militaire","pavillon",,,,,,,,,,,
1008,724,"linteamentum","mobilier","linteamenta",,,,,,,,,,,
1011,725,"mantilium","mobilier","mantil",,,,,,,,,,,
1013,726,"mantilium","mobilier","mantil",,,,,,,,,,,"baptème du Fils d'Aymon"
1014,727,"couverture","mobilier","couverture",,,"?",,,,,,,,"baptème de fils d'aymon"
1015,728,"divers choses","inconnue","inconnue",,,,,,,,,,,
1017,729,"linteamentum","mobilier","linteamenta",,,,,,,,,,,
1018,730,"linteamentum","mobilier","linteamenta",,,"?",,,,,,,,
1018,731,"sac","emballage","sac",,,"?",,,,,,,,
1019,732,"robe","vêtement","robe",,"Costa","?",,,,,,,,
1021,733,"malecote","intérieur","malecotte",,,1,1,,,,,,,
1022,734,"robe","vêtement","robe",,,1,1,,,,,,,
1024,735,"doublure de cote","doublure","cotte",,"Aquiam",1,1,,,,,,,"Helemensini"
1028,736,"robe","vêtement","robe",,,1,1,,,,,,,
1033,737,"tenture pour la grande salle","mobilier","tenture","grande salle",,,,,,,,,,"Adoubement de nouveaux chevaliers à Ripaille"
1036,738,"courtine","mobilier","courtine",,,,,,,,,,,"Adoubement de nouveaux chevaliers à Ripaille"
1048,739,"cote","intérieur","cotte",,,1,1,,,,,,,"Adoubement de nouveaux chevaliers à Ripaille"
1074,740,"malecote","intérieur","malecotte",,,1,1,,,,,,,
1075,741,"corset","intérieur","corset",,,2,2,,,,,,,
1076,742,"doublure de surcot","doublure","surcot",,,2,2,,,,,,,
1076,743,"doublure de chaperon","doublure","chaperon",,,2,2,,,,,,,
1078,744,"garnache","extérieur","garnache",,,2,2,,,,,,,
1083,745,"robe","vêtement","robe",,,"?",,,,,,,,
1085,746,"robe","vêtement","robe",,,,,,,,,,,"ivrée pour sépulture d'Aymon"
