"CodePersonne","Nom_pdox","Qualite","Identité","Nom","occupation","rattachement","Surnom","Diminutif","titre","sexe"
537,"Brabantam","Domina","Marguerite d'Angleterre Duchesse de Brabant","Marguerite d'Angleterre",,"Jean II duc de Brabant",,,"duchesse","F"
239,"Brunond Postea",,"Brunond Postea","Brunond Postea",,,,,,"M"
407,"Buffeto",,"Buffeto","Buffeto",,,,,,"M"
843,"Camera","Domini","Seigneur de la Chambre","Seigneur de la Chambre",,,,,"seigneur","M"
627,"Candi","valet du Duc de Bourgogne","Candi valet du duc de Bourgogne Eude IV","Candi","valet",,,,,"M"
197,"Candulphello Bergoiquin..ni?","marchand","Candulphello Bergoiquin..ni?","Candulphello Bergoiquin..ni?","marchand",,,,,"M"
838,"Castellini","messager de Yolande","Castellini","Castellini","messager","Yolande comtesse de savoie",,,,"M"
600,"Chapuisi",,"Chapuis","Chapuis",,,,,,"M"
438,"Charlono",,"Charlon","Charlon",,,,,,"M"
463,"Chatipol","lathomo","Chatipol","Chatipol","maçon",,,,,"M"
685,"Chinalorio","chambrier de Dame Beatrix","Chinalorio","Chinalorio","chambrier","Béatrix de Savoie fille d'Amédée V",,,,"M"
110,"Chucho","Dominus","Chucho","Chucho",,,,,"seigneur","M"
711,"Clorid de Costa",,"Clorid de Costa","Clorid de Costa",,,,,,"M"
158,"Colinete","tondeur (femme)","Colinette tondeur","colinette","tondeur",,,,,"F"
828,"Colineti","cuisine (mort)","Colinet le cuisinier","Colinet","cuisinier","Marie comtesse de Savoie",,,,"M"
902,"Colino","cisori de Marie femme d'A5","Colin le talilleur de la comtesse Marie","Colin","tailleur","Marie comtesse de Savoie",,,,"M"
742,"Colino","de Chambéry","Colin de Chambéry","Colin",,,,,,"M"
72,"Colino Estivendo",,"Colin Estievend","Colin Estievend",,,,,,"M"
540,"Coluchi de Septimo",,"Coluche de Septime","Coluche de Septime",,,,,,"M"
294,"Amédée III Comte de Genève","Amédée III comte de Genève","Amédée III comte de Genève","Amédée III",,,,,"Comte de Genève","M"
350,"comte de Genève","Amédée III comte de Genève","Amédée III comte de Genève","Amédée III",,,,,"Comte de Genève","M"
434,"Comtesse","future femme d'A6","jehanne de Bourgogne","jehanne de Bourgogne futur épouse d'Amédée VI","fiancée","Amédée VI, comte de Savoie",,,,"F"
449,"Conrad de Turre",,"Conrad de Turre","Conrad de Turre",,,,,,"M"
471,"Conseil d'A6",,"Le conseil d'Amédée VI","Conrad de Turre","conseiller","Amédée VI, comte de Savoie",,,,"M"
25,"Convers","gardien des vignes de Tresserve","Convers gardien des vignes de tresserve","Convers","gardien des vignes","Amédée V",,,,"M"
355,"cotuteur d'A6",,"Cotuteur d'Amédée VI","Cotuteur d'Amédée VI","cotuteur","Amédée VI",,,,"M"
840,"Courandi","Domini","Seigneur Courandi","Courandi",,,,,"seigneur","M"
218,"couturier",,"couturier","couturier","couturier",,,,,"M"
635,"cuisine du conte Eduardi",,"La cuisine d'Édouard comte de Savoie",,"cuisine","Édouard comte de Savoie",,,,"M"
230,"Cusin","valet follo du Seigneur Comte de Genève","Cusin fou d'Édouard III","Cusin","fou","Amédée III",,,,"M"
483,"Custode","frère mineur","Custode frère Franciscain","Custode","franciscain",,,,,"M"
229,"Dame de Faucigny",,"Dame de Faucigny","Dame de Faucigny","dame",,,,"dame","M"
177,"Dameli Pelete","marchand","Daniel Pellete","Daniel Pelete","marchand",,,,,"M"
376,"Danieli","menestrerio","Daniel le ménestrier","Daniel","ménestrier",,,,,"M"
377,"Dencisa","messager Marchioni Montisferati","Dencisa messager du Marquis de Montferrat","Denicisa","messager",,,,,"M"
905,"divers personnes"," Chambéry","divers personnes de Chambéry","divers personnes de Chambéry",,,,,,
472,"Domenione","femme du trompete Coci","Domenione femme du trompette Coci","Domenione",,,,,,"F"
538,"Duc de Brabant",,"Jean II duc de Brabant","Jean II",,,,,"duc","M"
314,"Edouard","Comte","Édouard comte de Savoie","Édouard comte de Savoie","fils","Amédée V",,,"comte","M"
31,"Eduardi","fils d' Amédée 5","Édouard comte de Savoie","Édouard comte de Savoie","fils","Amédée V",,,"conte","M"
897,"Eduardi","magistri","Maître Édouard","Maître Édouard",,,,,"maître","M"
231,"Eduardi  de Gorgenon","Domini chevalier","Édouard de Corgeron","Édouard de Corgeron","chevalier",,,,"seigneur","M"
333,"Eduardi Belioci","nepoti Eduardi","Édouard Bellioci","Édouard Bellioci",,"Édouard comte de Savoie",,,,"M"
785,"Eduardi Pisani",,"Édouard Pisan","Édouard Pisan",,,,,,"M"
686,"Egadio Richildi?",,"Égidio Richildi","Égidio Richildi",,,,,,"M"
574,"Egidio Boscocello","Domino","Égidio Boscocello","Égidio Boscocello",,,,,"seigneur","M"
375,"Emerito",,"Emerito","Emerito",,,,,,"M"
824,"Emoneti de Coteilliaco","d'Ambronay marchand?","Emoneti de Coteilliaco marchand d'Ambronay","Emoneti de Coteilliaco","marchand",,,,,"M"
40,"Enardeti de Miciaco",,"Enardeti de Miciaco","Enardeti de Miciaco",,,,,,"M"
465,"Endurmi","valet de Johanni de Salino","Endurmi valet de Johan de Salin","Endurmi","valet","Johan de Salin",,,,"M"
347,"enfants d'Amedeo de Bignino","marchands?","enfants d'Amédée de Bignin","enfants d'Amédée de Bignin",,"Amédée de Bignin",,,,"M"
383,"Estrangia","Damoiselle de Blanche soeur A6","Estrangia damoiselle de Blanche de Savoie","Estrangia","damoiselle","Blanche de Savoie",,,,"F"
799,"Eveyrendi Borno de Porta",,"Eveyrendi Borno de Porta","Eveyrendi Borno de Porta",,,,,,"M"
813,"Eymerici de Monte Falcone","écuyer d'A6","Eymeric écuyer d'Amédée VI","Eymeric de Montfalcon","écuyer","Amédée VI, comte de Savoie",,,,"M"
816,"Facioto","chambrier d'A6","Facioto chambrier d'Amédée VI","Facioto","chambrier","Amédée VI, comte de Savoie",,,,"M"
530,"Familia d'A5",,"Familia d'Amédée V","Familia","Familia","Amédée V",,,,
877,"Familia d'Aymon",,"Familia d'Aymon","Familia","Familia","Aymon comte de savoie",,,,
632,"Familia d'Eduardi et Blanche",,"Familia d'Édouard et blanche de Savoie","familia d'Édouard et blanche de Savoie","Familia","Édouard comte de Savoie",,,,
351,"Familia du comte de Genève",,"Familia d'Amédée III","Familia d'Amédée III","Familia","Amédée III",,,,
777,"Fatue","femme d'un pauvre","Fatue femme d'un pauvre ","Fatue","pauvre",,,,,"F"
129,"Festeria",,"Festeria","Festeria",,,,,,
45,"Filiestro de Chirone",,"Filiestro de Chirone","Filiestro de Chirone",,,,,,"M"
49,"fille  A5 2",,"fille d'Amédée V 1","fille d'Amédée V 1","fille","Amédée V",,,,"F"
47,"fille A5 1",,"fille d'Amédée V 2","fille d'Amédée V 2","fille","Amédée V",,,,"F"
50,"fille A5 3",,"fille d'Amédée V 3","fille d'Amédée V 3","fille","Amédée V",,,,"F"
696,"fille d'Eduardi",,"jehanne de Savoie fille d'Édouard comte de Savoie","jehanne de Savoie","fille","Édouard comte de Savoie",,,,"F"
92,"filles d' A5",,"filles d'Amédée V","filles d'Amédée V","fille","Amédée V",,,,"F"
625,"filles d'Eduardi",,"jehanne de Savoie fille d'Édouard comte de Savoie","jehanne de Savoie","fille","Édouard comte de Savoie",,,,"F"
855,"Francisci",,"françois","François",,,,,,"M"
414,"Francisci de Siravalle","Domini","François de Serravalle","François de Serravalle",,,,,"seigneur","M"
499,"Francisco Cingulo","fils de Petro Cingulo","François Cingulo fils de Pierre Cingulo","François Cingulo",,,,,,"M"
728,"Francisco Fallo de Callay",,"François Fallo de Callay","François Fallo de Callay",,,,,,"M"
298,"Francisco Niblerio",,"François Niblerio","François Niblerio",,,,,,"M"
680,"Frère",,"Frère","Frère","moine",,,,,"M"
114,"frère Francisco","ordre des mineurs","Frère François franciscain","Frère François","franciscain",,,,,"M"
204,"frére Guillielmi","convers d'Hautecombe","Frère Guillaume convers d'Hautecombe","Frère Guillaume","convers",,,,,"M"
678,"Frère Guillielmo de Camera",,"Frère Guillaumede la Chambre","Frère Guillaumede la Chambre","moine",,,,,"M"
521,"frére Jacobo","médecin","Frère Jacob médecin","Frère Jacob","médecin",,,,,"M"
234,"Frére Jacobo","moine de Montem Ferratem","Frère Jacob moine de Montferrat","Frère Jacob","moine",,,,,"M"
443,"Frère Jacobo","moine du bourget","Frère Jacob moine du Bourget","Frère Jacob","moine",,,,,"M"
522,"frère Jacobo de Bay",,"Frère Jacob de Bay","Frère Jacob de Bay","moine",,,,,"M"
774,"Frère Joffredi Abrasteri",,"Frère Joffroy Abrasteri","Frère Joffroy Abrasteri",,,,,,"M"
184,"Frére Johanni","convers","Frère Johan convers","Frère Johan convers","convers",,,,,"M"
205,"frére Johanni","convers de Mont...?","Frère Johan convers","Frère Johan convers","convers",,,,,"M"
769,"Frère Johanni",,"Frère Johan","Frère Johan","moine",,,,,"M"
863,"Frère Martino","confesseur d'Aymon","Frère Martin confesseur d'Aymon","Frère Martin","confesseur","Aymon comte de savoie",,,,"M"
754,"Frère Martyno","prédicateur d' Aymon","Frère Martin prédicateur d'Aymon","Frère Martin","prédicateur","Aymon comte de savoie",,,,"M"
755,"Frère Oberto","prédicateur d' Aymon","Frère Obert prédicateur d'Aymon","Frère Obert","prédicateur","Aymon comte de savoie",,,,"M"
82,"Frevine de Groaria",,"Frévine de Groaria","Frévine de Groaria",,,,,,"M"
491,"Galiachi","Domini","seigneur Galiachi","Galiachi",,,,,"seigneur","M"
836,"Garino","menestrerio","Garin le ménestrier","Garin","ménestrier",,,,,"M"
575,"Garno de Sancto Symphorium","Domino","Game de Saint-Symphorien","Game de Saint-Symphorien",,,,,"seigneur","M"
819,"Gautherio","menestrerio du Comte de Genève","Gauthier le ménestrier d'Amédée III","Gauthier","ménestrier","Amédée III",,,,"M"
363,"Georgi Marescalci",,"Georges Maréchal","Georges Maréchal",,,,,,"M"
779,"Georgie de Solerio Castelle","magistri (Ivrée)","Georges de Solerio Castelle d'Ivrée","Georges de Solerio Castelle d'Ivrée",,,,,"maître","M"
516,"Ginete","Domina","Dame Ginette","Dame Ginette","dame",,,,"dame","F"
134,"Ginete","fille de Johanni Arthondi","Ginette fille de Johan Arthond",,,,,,,"F"
226,"Girardi","chambrier  d'Aymon","Girard chambrier d'Aymon","Girard","chambrier","Aymon comte de savoie",,,,"M"
895,"Girardi Curtilis",,"Girard Curtil","Girard Curtil",,,,,,"M"
86,"Girardo","arbalètrier","Girard l'arbalètrier d'Amédée V","Girard","arbalétrier","Amédée V",,,,"M"
382,"Girardo","chambrier de Johanneta Damoiselle de Blanche","Girard chanbrier de Johannette demoiselle de Blanche de Savoie","Girard","chambrier","Johannette demoiselle de Blanche de Savoie",,,,"M"
900,"Girardo de Cupiria",,"Girard de Cupiriua","Girard de Cupiriua",,,,,,"M"
59,"Girardo de Cusiriaco","cisori d' A5","Girard de Cusy tailleur d'Amédée V","Girard","tailleur","Amédée V",,,,"M"
122,"Girini","femme de Guillilmi Meyrins","Girini femme de Guillaume Meyrins","Girini",,,,,,"F"
705,"Gironeto Yvrii de Voyronis","clerc","Gironet Yvri de Voyron","Gironet Yvri de Voyron","clerc",,,,,"M"
379,"Gita de Burgeto",,"Gita du Bourget","Gita du Bourget",,,,,,"F"
277,"Giullielmi Boni",,"Guillaume Bon","Guillaume Bon","receveur des comptes de trésorerie","Amédée VI, comte de Savoie",,,,"M"
593,"Gordani de Burgenistam","Domini et chevalier du Duc d'Autriche","Gordan de Burgenistam chevalier du duc d'Autriche","Gordan du Burgenistam","chevalier",,,,"seigneur","M"
722,"Grant Juliane","tondeur","Grant Juliane","Grant Juliane","tondeur",,,,,"M"
73,"Gresi Blundello",,"Gresi Blundello","Gresi Blundello",,,,,,"M"
361,"Grobelleto",,"Grobelleto","Grobelleto",,,,,,"M"
509,"Grossone Balbesem","nouveau chevalier","Grossone Balbesem","Grossone Balbesem","nouveau chevalier",,,,,"M"
104,"Guete de Chiari",,"Guete de Chiari","Guete de Chiari",,,,,,"M"
512,"Guichardi Burgo",,"Guichard Burgo","Guichard Burgo",,,,,,"M"
894,"Guichardi Tavelli","Domini","Guichard Tavel","Guichard Tavel",,,,,"seigneur","M"
766,"Guidoni Chenenes","nouveau chevalier","Guidon Cheneves","Guidon Cheneves","nouveau chevalier",,,,,"M"
617,"Guidoni de Saxe ou Rixe",,"Guidon de Saxe ou Rixe","Guidon de Saxe ou Rixe",,,,,,"M"
127,"Guietes de Trueriis",,"Guiette de Truerris","Guiette de Truerris",,,,,,"M"
66,"Guigona","Damoiselle (?)","Guigone demoiselle","Guigone demoiselle",,,,,,"F"
684,"Guigone","Damoiselle de Dame Beatrix","Guigone demoiselle de Béatrix de Savoie","Guigone","damoiselle","béatrix de Savoie fille d'Amédée V",,,,"F"
796,"Guigonete","cuisine","Guigonete de la cuisine d'Amédée VI","Guigonete","de la cuisine","Amédée VI, comte de Savoie",,,,"F"
798,"Guigoneto de Avena","fallieto","Guigonet de Avena","Guigonet de Avena",,,,,,"M"
453,"Guigoni cuisinier d'Amédée VI","cuisinier","Guigon cuisinier d'Amédée VI","Guigon","cuisinier","Amédée VI, comte de Savoie",,,,"M"
482,"Guigoni Cathene",,"Guigon Cathene","Guigon Cathene",,,,,,"M"
727,"Guilieldi Tavelli","Domini","Guillaume Tavel","Guillaume Tavel",,,,,"seigneur","M"
201,"Guilielmo de Chignino",,"Guillaume de Chignin","Guillaume de Chignin",,,,,,"M"
198,"Guillieimi","veneur d' A5","Guillaume le veneur d'Amédée V","Guillaume","veneur","Amédée V",,,,"M"
61,"Guillaumeto","cisori de la Comtesse Marie","Guillaumet tailleur de Marie comtesse de Savoie","Guillaumet","tailleur","Marie comtesse de Savoie",,,,"M"
700,"Guillaumeto Torneti de Chatonay",,"Guillaumet Tomet de Chatonay","Guillaumet Tomet de Chatonay",,,,,,"M"
841,"Guillielmi","chapelain d'Aymon","Guillaume chapelain d'Aymon","Guillielm","chapelain","Aymon comte de savoie",,,,"M"
629,"Guillielmi","chapelain d'Eduardi","Guillaume chapelain d'Édouard",,"chapelain","Édouard comte de Savoie",,,,"M"
702,"Guillielmi","Domini stulei d'Eduardi","Guillaume maître d'étude d'Édouard","Guillaume","maître d'étude","Édouard comte de Savoie",,,,"M"
701,"Guillielmi",,"Guillaume","Guillaume",,,,,,"M"
216,"Guillielmi Boni","receveur des comptes de trésorerie","Guillaume Bon","Guillaume Bon","receveur des comptes de trésorerie","Amédée VI, comte de Savoie",,,,"M"
15,"Guillielmi de Aubona",,"Guillaume de Aubone","Guillaume de Aubone",,,,,,"M"
597,"Guillielmi de Berganio",,"Guillaume de Berganio","Guillaume de Berganio",,,,,,"M"
552,"Guillielmi de Briardo",,"Guilloume de Briard","Guilloume de Briard",,,,,,"M"
489,"Guillielmi Thoyr...","clerc d'A6","Guillaume Thoy.. clerc d'Amédée VI","Guillaume Thoyr...","clerc","Amédée VI, comte de Savoie",,,,"M"
572,"Guillielmo","chapelain d'A5","Guillaume chapelain d'Amédée V","Guillaume","chapelain","Amédée V",,,,"M"
161,"Guillielmo","Domino","Seigneur Guillaume","Seigneur Guillaume",,,,,"seigneur","M"
616,"Guillielmo de Barrelli",,"Guillaume de Barrel","Guillaume de Barrel",,,,,,"M"
318,"Guillielmo de Bignino","drappier de Chambéry","Guillaume de Bignin drappier de Chambéry","Guillaume de Bignin","drapier",,,,,"M"
196,"Guillielmo de Chevelueto","procurateur de la curie d'A5","Guillaume Chevellu procurateur de la curie d'Amédée V","Guillaume Chevellu","procurateur de la curie","Amédée V",,,,"M"
520,"Guillielmo de Dagiis",,"Guillaume de Dage","Guillaume de Dage",,,,,,"M"
380,"Guillielmo de Duyng","familier de Blanche soeur de A6","Guillaume de Duingt familier de Blanche de Savoie","Guillaume de Duingt","familier","Blanche de Savoie",,,,"M"
162,"Guillielmo de Fontonay","mercier de Paris","Guillaume de Fontenay mercier de Paris","Guillaume de Fontenay","mercier",,,,,"M"
74,"Guillielmo de Furno",,"Guillaume du Four","Guillaume du Four",,,,,,"M"
608,"Guillielmo de Pergamo","magistro","Guillaume de Pergame","Guillaume de Pergame",,,,,"maître","M"
504,"Guillielmo de Salino",,"Guillaume de Salin","Guillaume de Salin",,,,,,"M"
571,"Guillielmo de Viridarie","valet du Roi de France","Guillaume de Viridarie valet de Louis X roi de France","Guillaume de Viridarie","valet",,,,,"M"
899,"Guillielmo Morer","valet d'Eduardi","Guillaume Morer valet d'Édouard","Guillaume Morer","valet","Édouard comte de Savoie",,,,"M"
57,"Guillielmo Picardi",,"Guillaume Picard","Guillaume Picard",,,,,,"M"
878,"Guillielmo Teruorum","drappier de Costa","Guillaume Terorum drapier de Costa","Guillaume Terorum","drapier",,,,,"M"
243,"Guillielto de Bignino","drappier de Chambéry bourgeois","Guillaumet de Bignin drapier de Chambéry","Guillaumet de Bigin","drapier",,,,"bourgeois","M"
392,"Guillielto de Virius",,"Guillaumet de Viri","Guillaumet de Viri",,,,,,"M"
269,"Guillielto Jorreti de Chatonay",,"Guillaumet Jorret de Chatonay","Guillaumet Jorret de Chatonay",,,,,,"M"
548,"Guillielto Loperero de Mastitone",,"Guillaumet Loperero de Mâcon","Guillaumet Loperero de Mâcon",,,,,,"M"
794,"Guillonete","lavandière d'A6","Guillemette la lavandière d'Amédée VI","Guillaumette","lavandière","Amédée VI, comte de Savoie",,,,"F"
295,"Guillonete de Bignino","femme d' Amedei de Bignino drappier","Guillaumette de Bignin femme d'Amédée de Bignin","Guillaumette de Bignin",,"Amédée de Bignin",,,,"F"
759,"Guilloto","terrassier","Guillaumet le terrasier","Guillaumet","terrassier",,,,,"M"
214,"Haleri","Domino","Seigneur Haleri","Seigneur Haleri",,,,,"seigneur","M"
904,"Hautecombe",,"Hautecombe","Hautecombe",,,,,,
788,"Henrici","cuisine","Henri de la cuisine","Henri","de la cuisine","Amédée VI, comte de Savoie",,,,"M"
875,"Henrici",,"Henri","Henri",,,,,,"M"
647,"Henrici de Flandies",,"Henri de Flandres","Henri de Flandres",,,,,,"M"
542,"Henrici de Septimo",,"Henri de Septimes","Henri de Septimes",,,,,,"M"
458,"Henricum de Putheo",,"Henri de Putheo","Henri de Putheo",,,,,,"M"
452,"Henricus Aqua",,"Henri Aqua","Henri Aqua",,,,,,"M"
121,"Henrieta","Dame","Dame Henriette","Dame Henriette",,,,,"dame","M"
113,"Hermeline Chentule","fille d' A5?","Hermeline Chentule","Hermeline Chentule",,,,,,"F"
105,"Hermeline Clananderie",,"Hermeline Clananderie","Hermeline Clananderie",,,,,,"F"
169,"Hôtel d'A5",,"Hôtel d'Amédée V","Hôtel d'Amédée V","hôtel","Amédée V",,,,
358,"Hôtel d'A6",,"Hôtel d'Amédée VI","Hôtel d'Amédée VI","hôtel","Amédée VI, comte de Savoie",,,,
288,"Hôtel d'Aymon",,"Hôtel d'Aymon","Hôtel d'Aymon","hôtel","Aymon comte de savoie",,,,
642,"Hôtel d'Eduardi",,"Hôtel d'Édouard","Hôtel d'Édouard","hôtel","Édouard comte de Savoie",,,,
842,"Hôtel de Yolande",,"Hôtel de Yolande","Hôtel de Yolande","hôtel","Yolande comtesse de savoie",,,,
455,"Hugeta","moniale de Bonz","Huguette moniale de Bonz","Huguette","moine",,,,,"F"
287,"Hugeto Picardi","marchand?","Huguet Piquard","Huguet Piquard","marchand",,,,,"M"
810,"Hugois de Cotonate","écuyer","Hugo de Cotonate","Hugo de Cotonate","écuyer",,,,,"M"
764,"Hugone de Besanson","Domino","Hugo de Besançon","Hugo de Besançon",,,,,"seigneur","M"
720,"Hugoneti Dideri",,"Hugonet Dideri","Hugonet Dideri",,,,,,"M"
661,"Hugoneto de Bessio",,"Hugonet de Besse","Hugonet de Besse",,,,,,"M"
795,"Hugoni","cuisine","Hugo de la cuisine d'Amédée VI","Hugo de Besançon","de la cuisine","Amédée VI, comte de Savoie",,,,"M"
739,"Hugoni","marescalci d'Aymon","Hugo le maréchal d'Aymon","Hugo de Besançon",,,,,,
881,"Hugoni Boscocelli","nouveau chevalier",,,,,,,,
528,"Hugoni de Beson.....",,"Hugonet de Besse","Hugonet de Besse","maréchal","Aymon comte de savoie",,,,"M"
337,"Hugoni Picardi","marchand?","Huguet Piquard","Huguet Piquard","marchand",,,,,"M"
193,"Hugonie Boteri",,"Hugo Boteri","Hugo Boteri",,,,,,"M"
390,"Hugueta de Bonz","nonne","Huguette moniale de Bonz","Huguette","moine",,,,,"F"
780,"Humberteto","mantilerio de Chambéry","Humbert mantilier de Chambéry","Humbert","mantilier",,,,,"M"
222,"Humberti batard d'Aymon","Domini","Humbert le bâtard d'Aymon","Humbert","bâtard","Aymon comte de savoie",,,"bâtard","M"
763,"Humberti Diderii",,"Humbert Dideri","Humbert Dideri",,,,,,"M"
281,"Humberto de Cou",,"Humbert de Cou","Humbert de Cou",,,,,,"M"
391,"Humberto de Murisin",,"Humbert de Murisin","Humbert de Murisin",,,,,,"M"
505,"Humberto de Vachis","Domini","Humbert de Vache","Humbert de Vache",,,,,"seigneur","M"
646,"Imperatrice",,"Philippe I de Tarente prince de Morée empereur","Philippe I de Tarente prince de Morée empereur",,,,,"Empereur","M"
660,"Imperatrici Grecorum","Domine","Catherine II de Valois-Courtenay impératrice ","Catherine II de Valois-Courtenay impératrice ",,,,,"Impératrice","F"
621,"Incoleri","Domini","Incoleri","Incoleri",,,,,"seigneur","M"
714,"Jacobi de Runore",,"Jacob de Runore","Jacob de Runore",,,,,,"M"
254,"Jacobi de Sabaudie",,"Jacob de Savoie","Jacob de Savoie",,,,,,"M"
364,"Jacobi Marescalci","Maître du frère d'A6","Jacob Maréchal maître du frère d'Amédée VI","Jacob Maréchal","maître",,,,,"M"
112,"Jacobo","?","Jacob","Jacob",,,,,,"M"
20,"Jacobo","chapelain du château de Chambéry","Jacob chapelain du château de Chambéry","Jacob","chapelain",,,,,"M"
19,"Jacobo","châtelain du château de Chambéry","Jacob chapelain du château de Chambéry","Jacob","chapelain",,,,,"M"
437,"Jacobo","escoferio du Seigneur de Yenne","Jacob cordonnier dy seigneur de Yenne","Jacob","cordonnier",,,,,"M"
494,"Jacobo de Aubona","tondeur","Jacob de Aubone","Jacob de Aubone","tondeur",,,,,"M"
64,"Jacobo de Bozcosello","Domino","Jacob de Boscocsello","Jacob de Boscocsello",,,,,"seigneur","M"
468,"Jacobo de Claromonte","chevalier d'A6","Jacob de Clermont","Jacob de Clermont","chevalier","Amédée VI, comte de Savoie",,,,"M"
16,"Jacobo de Trescors","Dominus","Jacob de Trescort","Jacob de Trescort",,,,,"seigneur","M"
400,"Jacobo de Turre","moine","Jacob de Turre","Jacob de Turre","moine",,,,,"M"
719,"Jacobo Fabe",,"Jacob Fabe","Jacob Fabe",,,,,,"M"
867,"Jacometi Belioci",,"Jacob Belioci","Jacob Belioci",,,,,,"M"
793,"Jacometi de Porta",,"Jacquemet de Porta","Jacquemet de Porta",,,,,,"M"
412,"Jacometi Duardi","charpentier","Jacquemet Duardi le charpentier","Jacquemet Duardi","charpentier",,,,,"M"
804,"Jacometo","valet furi","Jacquemet valet fourier","Jacquemet","valet fourrier","Amédée VI, comte de Savoie",,,,"M"
151,"Jacometo de Solerio",,"Jacquemet de Solerio","Jacquemet de Solerio",,,,,,"M"
470,"Jacomo","tondeur de chambéry","Jacques le tondeur de Chambéry","Jacques","tondeur",,,,,"M"
847,"Jacono","mercier Juif","Jacques mercier juif","Jacques","mercier",,,,"juif","M"
442,"Jacono de Sancta Agneta d'Ivrée",,"Jacques de Saint-Agnés d'Ivrée","Jacques de Saint-Agnés d'Ivrée",,,,,,"M"
817,"Jaquemino Equadi",,"Jacquemet Équadi","Jacquemet Équadi",,,,,,"M"
274,"Jaquino Terzana",,"Jacquin Terzana","Jacquin Terzana",,,,,,"M"
346,"Jaquio de Aubona","tondeur","Jacob de Aubone","Jacob de Aubone","tondeur",,,,,"M"
356,"Jaquobo de Sancta Aguata","citoyen d'Yponag..?","Jacques de Saint-Agnés d'Ivrée","Jacques de Saint-Agnés d'Ivrée",,,,,,"M"
221,"Jaquometi","armeatori","Jacquemet l'armurier","Jacquemet","armurier",,,,,"M"
257,"Jaquometi de Chalez",,"Jacquemet de Chalez","Jacquemet de Chalez",,,,,,"M"
373,"Jaquometi Marescalci",,"Jacquemet Maréchal","Jacquemet Maréchal",,,,,,"M"
101,"Jaquometo","pelletier","Jacquemet le pelletier","Jacquemet","pelletier",,,,,"M"
413,"jehanne de Bourgogne","future femme d'A6","jehanne de Bourgogne","jehanne de Bourgogne future épouse d'Amédée VI",,"Amédée VI, comte de Savoie",,,,"F"
267,"Joffredi","arbalètrier","Joffroy l'arbalètrier","Joffroy","arbalétrier","Aymon comte de savoie",,,,"M"
587,"Joffredo","valet du Roi de France","Joffroy valet de Louis X roi de France","Joffroy","valet",,,,,"M"
432,"Johanne","Damoiselle de la Comtesse (A6)","Johanne damoiselle de Bonne de Bourbon","Jehanne","damoiselle","Bonne de Bourbon",,,,"F"
132,"Johanne","fille d' A5","Johanne de Savoie fille d'Amédée V","Johanne de Savoie","fille","Amédée V",,,,"F"
690,"Johanne","fille d'Eduardi","Johanne de Savoie fille d'Édouard","Johanne de Savoie","fille","Édouard comte de Savoie",,,,"F"
890,"Johanne Girondeti",,"Johanne Girondet","Johanne Girondet",,,,,,"F"
381,"Johanneta","Damoiselle de Blanche soeur A6","Johannette demoiselle de Blanche de Savoie","Johannette","damoiselle","Blanche de Savoie",,,,"F"
396,"Johanneta de Duyng","familiere de Blanche soeur A6","Johannette de Duingt familière de Blanche soeur d'Amédée VI",,"familier","Blanche de savoie",,,,"F"
751,"Johannete","femme du dit Charlon","Johannette femme du dit Charlon","Johannette",,"le dit Charlon",,,,"F"
247,"Johanneti Deniseti","pelletier de Chambéry","Johan Deniset pelletier de chambéry","Johan Deniset","pelletier",,,,,"M"
802,"Johanneto Batheto",,"Johannet Bathet","Johannet Bathet",,,,,,"M"
733,"Johanni","barbier","Johan le barbier","Johan","barbier",,,,,"M"
440,"Johanni","batard","Johan le bâtard","Johan le bâtard",,,,,,"M"
689,"Johanni","clerc d'Eduardi","Johan clerc d'Édouard","Johan","clerc","Édouard comte de Savoie",,,,"M"
518,"Johanni","Domini","Seigneur Johan","Johan",,,,,"seigneur","M"
182,"Johanni","lathomo magistro","Johan maître maçon","Maître Johan","maçon",,,,"maître","M"
898,"Johanni","magistri","Maître Johan","Maître Johan",,,,,"maître","M"
725,"Johanni","magistri tondeur","Johan maître tondeur","Johan maître tondeur","tondeur",,,,"maître","M"
786,"Johanni","nouveau barbier d'A6","Johan le barbier d'Amédée VI","Johan","barbier","Amédée VI, comte de Savoie",,,,"M"
394,"Johanni","régulier  d'Hautecombe","Johan moine d'Hautecombe","Johan","moine",,,,,"M"
444,"Johanni","tailleur de la Comtesse (A6)","Johan de Lille tailleur de Bonne de Bourbon","Johan","tailleur","Bonne de Bourbon",,,,"M"
264,"Johanni","valet de l'hôtel d'Amedei fils d'Aymon","Johan valet de l'hôtel d'Amédée VI","Johan","valet","Amédée VI, comte de Savoie",,,,"M"
178,"Johanni","veneur d' A5","Johan veneur d'Amédée V","Johan","veneur","Amédée V",,,,"M"
513,"Johanni  ?",,"Johan","Johan",,,,,,"M"
107,"Johanni ?",,"Johan","Johan",,,,,,"M"
736,"Johanni Belleville",,"Johan Belleville","Johan Belleville",,,,,,"M"
369,"Johanni Betone","magistro","Johan Betone","Johan Betone",,,,,"maître","M"
21,"Johanni Boni","Lathomo","Johann Boni maçon","Johan Boni","maçon",,,,,"M"
220,"Johanni Boni le pére","bourgeois de Chambéry marchand?","Johan Boni bourgeois et marchand de Chambéry","Johan Boni","marchand",,,,"bourgeois","M"
90,"Johanni Bonivardi","bourgeois de Chambéry","Johan Bonivard","Johan Bonivard",,,,,"bourgeois","M"
