"Id";"identite";"Nom";"Surnom";"Diminutif";"Occupation";"Titre";"Sexe";"VilleDomicile";"VilleOrigine";"Remarques";"Rattachement";"MaJ_occupations"
1283;"Johan de Luysei";"Johan de Luysei";;;"Inconnue";;"M";;;;;1
1284;"Manet de Lyon";"Manet de Lyon";;;"Inconnue";;"M";"Masticonem";;;;1
1285;"Johan de Leymont";"Johan de Leymont";;;"Inconnue";;"M";;;;;1
1286;"Velers de la cuisine";"Velers";;;"Inconnue";;"M";;;;;1
1287;"Pailliard le valet de cuisine d'Amédée VI";"Pailliard";;;"Inconnue";;"M";;;;"6";1
1288;"Aymée le valet de cuisine d'Amédée VI";"Aymée";;;"Inconnue";;"M";;;;"6";1
1289;"Jacob le valet de cuisine d'Amédée VI";"Jacob";;;"Inconnue";"valet de cuisine";"M";;;;;1
1290;"Johan Barbier";"Johan Barbier";;;"Inconnue";;"M";;;;;1
1291;"Precuserment";"Precuserment";;;"Inconnue";"valet de paneterie";"M";;;;;1
1292;"Bellicio le valet de cuisine";"Bellicio";;;"Inconnue";"valet de cuisine";"M";;;;;1
1293;"Mestre fils du dit Briort valet d'Antoine Maillet";"Mestre";"Mestre";;"Inconnue";"valet";"M";;;;"Antoine Maillet";1
1294;"Chapelain d'amédée VI";;;;"Inconnue";"chapelain";"M";;;;"6";1
1295;"Chanteur du cardinal de Vabres";;;;"Inconnue";"religieux";"M";;;;;1
1296;"Dorceravit";"Dorceravit";;;"Inconnue";;"M";;;;;1
1297;"procurateur de la curie romaine";;;;"Inconnue";;"M";;;;;1
1298;"bâtard de Verna";"bâtard de Verna";;;"Inconnue";;"M";;;;;1
1300;"Philippe de Juys chetelain de baugiaci";"Philippe de Juys";;;"Inconnue";"châtelain";"M";;;;;1
1301;"Humbert le bâtard d'Aymon";"Humbert le bâtard";;;"Inconnue";"châtelain";"M";;;"mort en 1378";;1
1302;"Guillaume de la Forest lieutenant tharentaise";"Guillaume de la Forest";;;"Inconnue";"lieutenant de chatellenie";"M";;;;;1
1303;"Guillaume Picard";"Guillaume Picard";;;"Inconnue";;"M";;;;;1
1304;"Marguerite femme de Guillaume Picard";"Marguerite";;;"Inconnue";;"F";;;;"Guillaume Picard";1
1305;"Valusin conseiller d'Amédée VI";"Valusin";;;"Inconnue";"conseiller";"M";;;;"6";1
1306;"Perechipan d'Evian";"Perechipan";;;"Inconnue";;"M";"Evian";;;;1
1307;"Humbert Bon d'Evian";"Humbert Bon";;;"Inconnue";;"M";"Evian";;;;1
1308;"familier de Bonne de Bourbon";;;;"Inconnue";;"M";;;;;1
1309;"Chapelle de Bonne de Bourbon";;;;"Inconnue";;"M";;;;;1
1310;"Peronet Roi gardien du cheval de Bonne de Bourbon";"Peronet Roi";;;"Inconnue";"gardien du cheval";"M";;;;"Bonne de Bourbon";1
1311;"Stephane valet de Johan de Lille le tailleur";"stephane";;;"Inconnue";;"M";;;;"Johan de Lille";1
1312;"Val valet des torches";"Val";;;"Inconnue";"valet des torches";"M";;;;;1
1313;"Guillaume Manselle";"Guillaume Manselle";;;"Inconnue";"écuyer";"M";;;;"Bonne de Bourbon";1
1314;"valet du maître panetier d'Amédée VI";;;;"Inconnue";"valet";"M";;;;;1
1315;"Girardin le couturier";"Girardin le couturier";;;"Inconnue";"couturier";"M";;;;;1
1316;"Jacquemet de Monxiaco";"Jacquemet de Monxiaco";;;"Inconnue";"châtelain";"M";;;;;1
1317;"Guillemette femme du dit Potier de Chambéry";"Guillemette";;;"Inconnue";;"F";;;;;1
1318;"Fromager de la paneterie de bonne de Bourbon";"Fromager";;;"Inconnue";"de la paneterie";"M";;;;"Bonne de Bourbon";1
1319;"Girard Fils de Nachi";;;;"Inconnue";"paneterie";"M";;;;"Bonne de Bourbon";1
1320;"Jacquemet Fornier de la paneterie";"Jacquemet Fornier";;;"Inconnue";"paneterie";"M";;;;;1
1321;"Peronet Roi de la paneterie";"Peronet Roi";;;"Inconnue";"paneterie";"M";;;"est-ce le même que le? peronet roi gardien des cheveaux";"Bonne de Bourbon";1
1322;"Poncet de la bouteillerie";"Poncet";;;"Inconnue";"bouteillerie";"M";;;;"Bonne de Bourbon";1
1323;"Nicolas Clerc de la bouteillerie";"Nicolas Clerc";;;"Inconnue";"bouteillerie";"M";;;;"Bonne de Bourbon";1
1324;"Trompette de la bouteillerie";"Trompette";;;"Inconnue";"bouteillerie";"M";;;;"Bonne de Bourbon";1
1325;"Laurent de la bouteillerie";"Laurent";;;"Inconnue";"bouteillerie";"M";;;;"Bonne de Bourbon";1
1326;"Vincent de la bouteillerie";"Vincent";;;"Inconnue";"bouteillerie";"M";;;;"Bonne de Bourbon";1
1327;"Boner de la bouteillerie";"Boner";;;"Inconnue";"bouteillerie";"M";;;;"Bonne de Bourbon";1
1328;"Gannot de la maréchalerie";"Gannot";;;"Inconnue";"maréchalerie";"M";;;;"Bonne de Bourbon";1
1329;"Girard de la Salle de la maréchalerie";"Girard de la Salle";;;"Inconnue";"maréchalerie";"M";;;;"Bonne de Bourbon";1
1330;"Johan Camere de la chambre";"Johan Camere";;;"Inconnue";"de la chambre";"M";;;;"Bonne de Bourbon";1
1331;"Stephane Cachet de la chambre";"stephane Cachet";;;"Inconnue";"de la chambre";"M";;;;"Bonne de Bourbon";1
1332;"Girgoysie de la porte";"Girgoysie";;;"Inconnue";"de la porte";"M";;;;"Bonne de Bourbon";1
1333;"Folachon de la porte";"Folachon";;;"Inconnue";"de la porte";"M";;;;"Bonne de Bourbon";1
1334;"François de Pont Vitrée";"François de Pont Vitrée";;;"Inconnue";;"M";;;;;1
1335;"Humbert Malet le charpentier";"Humbert Malet";;;"Inconnue";"charpentier";"M";;;;;1
1336;"Jacquemet Rafolia le chambrier";"Jacquemet Rafolia";;;"Inconnue";"chambrier";"M";;;;;1
1337;"Barlet";"Barlet";;;"Inconnue";"de la cuisine";"M";;;;;1
1338;"Johan de Doyssia";"Johan de Doyssia";;;"Inconnue";;"M";;;;;1
1339;"Jacob chanteur de chapelle de Bonne de Bourbon";"Jacob";;;"Inconnue";"chanteur de la chapelle";"M";;;;;1
1340;"Johan Borderie maître d'Amédée VII";"Johan Borderie";;;"Inconnue";"maître d'enfant";"M";;;;"7";1
1341;"Monre le couturier";"Monre";"le dit Monre";;"Inconnue";"couturier";"M";;;;;1
1342;"Andrenet le couturier";"Andrenet";;;"Inconnue";"couturier";"M";;;;;1
1343;"Johannot Bret le couturier";"Johannot Bret";;;"Inconnue";"couturier";"M";;;;;1
1344;"valet de Johannot Bret le couturier";;;;"Inconnue";"valet couturier";"M";;;;;1
1345;"valet de François Coper le couturier";;;;"Inconnue";"valet couturier";"M";;;;;1
1346;"Pierre Odin le couturier";"Pierre Odin";;;"Inconnue";"couturier";"M";;;;;1
1347;"Pierre Jannon d'Evian le couturier";"Pierre Jannon";;;"Inconnue";"couturier";"M";"Evian";;;;1
1348;"Jacquemet du Bourget le couturier";"Jacquemet du Bourget";;;"Inconnue";"couturier";"M";;;;;1
1349;"femme d'Aymon Loup";;;;"Inconnue";;"F";;;;;1
1350;"Manisseo juif de Rossellione";"Manisseo";;;"Inconnue";;"M";;;;;1
1351;"Johan Paratho";"Johan Paratho";;;"Inconnue";;"M";;;;;1
1352;"La Bricerie";"La Bricerie";;;"Inconnue";;"M";;;;;1
1353;"Ranay";"Ranay";;;"Inconnue";;"M";;;;;1
1354;"Pierre Mando";"Pierre Mando";;;"Inconnue";;"M";;;;;1
1356;"écuyer d'Evian";;;;"Inconnue";"écuyer";"M";"Evian";;;;1
1357;"Landro";"Landro";;;"Inconnue";;"M";;;;;1
1358;"Johannette de Saint Innocent";"Johannette de Saint Innocent";;;"Inconnue";;"F";;;;;1
1359;"Hugonet bâtard d'Humbert le bâtard d'Aymon";"Dame de Bramont";;;"Inconnue";;"F";;;;;1
1360;"peintre";;;;"Inconnue";"peintre";"M";;;;;1
1361;"seigneur de Melville";"seigneur de Melville";;;"Inconnue";"seigneur";"M";;;;;1
1362;"Seigneur de Ray";"Seigneur de Ray";;;"Inconnue";"seigneur";"M";;;;;1
1364;"neveu de Guiffred Bethone de Chambéry";;;;"Inconnue";;"M";;;;"Guiffred Bethone de Chambéry";1
1365;"Escharreur";;;;"Inconnue";"escharreur";"M";;;;;1
1366;"Bartholomé Pape";"Bartholomé Pape";;;"Inconnue";;"M";;;;;1
1367;"dame de Beaumont";"dame de Beaumont";;;"Inconnue";"dame";"F";;;;;1
1368;"Fuellum la demoiselle";"Fuellum";;;"Inconnue";"demoiselle";"F";;;;;1
1369;"chambrière de la dame de Beaumont";;;;"Inconnue";"Chambrier";"F";;;;;1
1370;"écuyer de la dame de Beaumont";;;;"Inconnue";"écuyer";"M";;;;"dame de beaumont";1
1371;"chambrier  de la dame de Beaumont";;;;"Inconnue";"chambrier";"M";;;;"dame de Beaumont";1
1372;"valet de la dame de Beaumont";;;;"Inconnue";"valet";"M";;;;"dame de beaumont";1
1373;"François Daventon";"François Daventon";;;"Inconnue";;"M";;;;;1
1374;"Jacob de Pontignac";"Jacob de Pontignac";;;"Inconnue";"religieux";"M";"hautecombe";;;;1
1375;"Johan d'Estalonet de Rumilly";"Johan d'Estalonet de Rumilly";;;"Inconnue";"religieux";"M";"hautecombe";;;;0
1376;"Nicolas de Croysin";"Nicolas de Croyssin";;;"Inconnue";"religieux";"M";"hautecombe";;;;1
1377;"Johan Mariori de Bellicio";"Johan Mariori de Bellicio";;;"Inconnue";"religieux";"M";"hautecombe";;;;1
1378;"Dame Florine de Provanis";"Florine de Provanis";;;"Inconnue";"dame";"M";;;;;1
1379;"Guigonet";"Guigonet";;;"Inconnue";;"M";;;;;1
1380;"Johan Former";"Johan Former";;;"Inconnue";;"M";;;"peut être johan fornier";;1
1381;"La Poipi";"La poipi";;;"Inconnue";;"M";;;;;1
1382;"Frère du Pape en Avignon";;;;"Inconnue";;"M";;;;;1
1383;"Maréchauds du Pape";;;;"Inconnue";;"M";;;;;1
1384;"Johan Donteret";"Johan Donteret";;;"Inconnue";;"M";;;;;1
1385;"Eymeric du Comeda";;;;"Inconnue";;"M";;;;"Louis de Savoie";1
1386;"Pierre de Gernole";"Pierre de Gernole";;;"Inconnue";"seigneur";"M";;;;;1
1387;"Page du seigneur de Seyssel";;;;"Inconnue";"page";"M";;;;;1
1388;"Humbert de Bleten";"Humbert de Bleten";;;"Inconnue";;"M";;;;;1
1389;"Johan du Lyonyser";"Johan du Lyonyser";;;"Inconnue";;"M";;;;;1
1390;"Le Muet";"Le Muet";;;"Inconnue";;"M";;;;;1
1391;"l'enfant en 1364";;;;"Inconnue";;"M";;;;;0
1392;"écuyer de Galeas Visconti";;;;"Inconnue";"écuyer";"M";;;;"Galeas Visconti de Milan";1
1393;"Allemand le page d'Amédée VI";"Allemand";;;"Inconnue";"page";"M";;;;"6";1
1394;"Sernage le chevalier";"Sernage";;;"Inconnue";;"M";;;;;1
1396;"Pierre Belletruche";"Pierre Belletruche";;;"Inconnue";"écuyer";"M";;;;"7";1
1397;"Johan de Submont";"Johan de Submont";;;"Inconnue";;"M";;;;;1
1398;"Laurencin l'orfèvre de Paris";"Laurencin";;;"Inconnue";"orfèvre";"M";"Paris";;;;1
1399;"Jacques d'Albengna le franciscain";"Jacques d'Albengna";;;"Inconnue";"religieux";"M";;;;;1
1400;"Lescelle de Saint-Genis";"Lescelle de Saint-Genis";;;"Inconnue";;"M";;;;;1
1402;"seigneur de Genève";"seigneur de Genève";;;"Inconnue";"seigneur";"M";;;;;1
1403;"femme Simond la trompette";;;;"Inconnue";;"F";;;;;1
1404;"Galeas Visconti de Milan";"Galeas Visconti de Milan";;;"Inconnue";"seigneur";"M";;;;;1
1405;"Duc de Clarence";"Duc de Clarence";;;"Inconnue";"seigneur";"M";;;;;1
1406;"Comte de vertus";"Comte de Vertus";;;"Inconnue";;"M";;;;;1
1407;"Johan de Grolée";"Johan de Grolée";;;"Inconnue";"seigneur";"M";;;;;1
1408;"Antoine bâtard de Savoie";"Antoine";;;"Inconnue";"bâtard";"M";;;;;1
1409;"Gaspard de Montmayeur";"Gapard de Montmayeur";;;"Inconnue";"seigneur";"M";;;;;1
1410;"Girard de Grandmont";"Girard de Grandmont";;;"Inconnue";"écuyer";"M";;;;"seigneur du dauphiné";1
1411;"Mory l'écuyer du seigneur du dauphiné";"Mory";;;"Inconnue";"écuyer";"M";;;;"seigneur du dauphiné";1
1413;"La Vernete";"La Vernete";;;"Inconnue";;"M";;;;;1
1414;"Le Clergo de Lunnaz";"Le  Clergo de Lunnaz";;;"Inconnue";"écuyer";"M";;;;"Galeas Visconti de Milan";1
1415;"Girard de Sanglay";"Girard de Sanglay";;;"Inconnue";;"M";;;;;1
1416;"Johan de Barlier";"Johan de Barlier";;;"Inconnue";;"M";;;;;0
1417;"Cuisinier d'amédée VI";;;;"Inconnue";"cuisinier";"M";;;;"6";1
1418;"Anequin page d'Amédée VI";"Anequin";;;"Inconnue";"page";"M";;;;"6";1
1419;"Esclavo page d'Amédée VI";"Esclavo";;;"Inconnue";"page";"M";;;"peut être l'esclavo bonivard";"6";1
1420;"mesnie du gouverneur du Dauphiné";;;;"Inconnue";;"M";;;;;1
1421;"Bartholomé Espisaigne";"Bartholomé Espisaigne";;;"Inconnue";;"M";"Paris";;"peut etre bartholomé espinase";;1
1422;"Raphaël Douneygro";"Raphaël Douneygro";;;"Inconnue";;"M";;;;;1
1423;"mesnie de Raphaël Douneygro";;;;"Inconnue";;"M";;;;"Raphaël Douneygro";1
1424;"Pillard valet d'Antoine de Challes";"Pillard";;;"Inconnue";"valet";"M";;;;"Antoine de Challes";1
1425;"Antoine de Challes";"Antoine de Challes";;;"Inconnue";"seigneur";"M";;;;;1
1426;"Dame Alixe";"Alixe";;;"Inconnue";;"F";;;;"Bonne de Bourbon";1
1427;"Antoine le couturier";"Antoine";;;"Inconnue";"couturier";"M";;;"peut être la même peronne qu'Antonin le couturier";;1
1428;"Girofle le sellier";"Girofle";;;"Inconnue";"sellier";"M";;;;;1
1430;"Jacquemet de Toyrie";"Jacquemet de Toyrie";;;"Inconnue";;"M";;;;;1
1431;"Etienne Mareschal du Pont-de-Veyles";"Etienne Mareschal";;;"Inconnue";;"M";;;;;1
1432;"La Frila";"La Frila";;;"Inconnue";;"M";;;;;1
1433;"Antoine Bassin";"Antoine Bassin";;;"Inconnue";;"M";;;;;1
1434;"Colin le couturier";"Colin";;;"Inconnue";"couturier";"M";;;"peuêtre la mêm epersonne que le tailleur de Bonne de Bourbon";;1
1435;"Pierre de Rumilly frére";"Pierre de Rumilly";;;"Inconnue";"religieux";"M";;;;;1
1436;"Enfant du prince";;;;"Inconnue";;"M";;;;"prince";1
1437;"Pierre de Belley";"Pierre de Belley";;;"Inconnue";"chambrier";"M";;;"peut être le même que pierre de Bellioci";"Bonne de Bourbon";1
1438;"petit bossu";;;;"Inconnue";;"M";;;;;1
1439;"femme de Pierre Gerbais";;;;"Inconnue";;"F";;;;"Pierre Gerbais";1
1440;"la Elimol";;;;"Inconnue";;"F";;;;;1
1441;"Clavine femme de Johan de Luysei";"Clavine";;;"Inconnue";;"F";;;;"Johan Luyset";1
1442;"femme d'Antoine Mailliet";;;;"Inconnue";;"F";;;;"Antoine Maillet";1
1443;"Guillaume de la Verie";"Guillaume de la Verie";;;"Inconnue";"seigneur";"M";;;;;1
1444;"femme d'Angelin";;;;"Inconnue";;"F";;;;;1
1445;"menu valet de Bonne de Bourbon";;;;"Inconnue";"menu valet";"M";;;;"Bonne de Bourbon";1
1447;"charretier";;;;"Inconnue";"charretier";"M";;;;;1
1448;"Saint Genis";"Saint Genis";;;"Inconnue";;"M";;;;;1
1449;"Tranche Montagne le messager d'Amédée VI";"Tranche Montagne";;;"Inconnue";"messager";"M";;;;"6";1
1450;"La Ballessa";"La Ballessa";;;"Inconnue";;"M";;;;;1
1451;"Marie Beguine";"Marie Beguine";;;"Inconnue";;"F";;;;;1
1452;"Berger";"Berger";;;"Inconnue";"valet";"M";;;;"pierre de lompnes";1
1453;"maître Bardier";"Baldier";;;"Inconnue";;"M";;;;;0
1454;"Marguerite femme du roi des mercier";"marguerite";;;"Inconnue";;"F";;;"peut être femme de Guillaume Picard";;1
1455;"Entermet de Montferrand";"Entermet de Montferrand";;;"Inconnue";;"M";;;;;1
1456;"Nicolet (sans qualificatif)";"Nicolet";;;"Inconnue";;"M";;;;;1
1457;"Eymeric le fil de Bernard";"Eymeric";;;"Inconnue";;"M";;;"c'est l'ecuyer d'amédée VI";;1
1458;"Ogier de la taillerie";"Ogier";;;"Inconnue";;"M";;;;"Bonne de Bourbon";1
1459;"Dame Bernarde";"Bernarde";;;"Inconnue";;"F";;;;;1
1460;"jardinier du Bourget";;;;"Inconnue";"jardinier";"M";;;;;1
1461;"Anterme Pape";"Lantenin Pape";;;"Inconnue";;"M";"Lyon";;;;1
1463;"Johan de Croso le confesseur d'Amédée VI";"Johan de Croso";;;"Inconnue";"religieux";"M";;;;;1
1464;"Girard de la Voyne";"Gigard de la Voyne";;;"Inconnue";"de la sale";"M";;;;"Bonne de Bourbon";1
1465;"femme de Girard de la Voyne";;;;"Inconnue";;"F";;;;"Girard de la Voyne";1
1466;"femme de Johan Ranais";;;;"Inconnue";;"F";;;;"johan ranais";1
1467;"Pancerot de Seraval";"Pancerot de Seraval";;;"Inconnue";"damoiseau";"M";;;;;1
1468;"Parisie femme de Manisseo juif";"Parisie";;;"Inconnue";;"F";;;;;1
1469;"Guillaume Bergorguin";"Guillaume Bergorguin";;;"Inconnue";;"M";;;;;1
1470;"Le petit Henri page d'Amédée VI";"Henri";;;"Inconnue";"page";"M";;;;;1
1471;"Henri Chevrier de Lyon";"Henri Chevrier";;;"Inconnue";;"M";"Lyon";;;;1
1472;"Don Johan Girard";"Johan Girard";;;"Inconnue";"religieux";"M";;;;;1
1473;"Johan maître de la maréchausée";"Johan";;;"Inconnue";;"M";;;;;1
1474;"Johan Vachet";"Johan Vachet";;;"Inconnue";"receveur des comptes";"M";;;;;1
1475;"maréchal de Saint Rembert";;;;"Inconnue";;"M";;;;;1
1476;"frére d'Amédée VII";;;;"Inconnue";;"M";;;;"7";1
1477;"Eymeric de Murbel";"Eymeric de Murbel";;;"Inconnue";;"M";;;;;1
1478;"fille de la Chambre";;;;"Inconnue";;"F";;;;"Bonne de Bourbon";1
1479;"Moyen valet de Bonne de Bourbon";;;;"Inconnue";"moyen valet";"M";;;;"Bonne de Bourbon";1
1480;"Dieulefit confesseur de Bonne de Bourbon";"Dieulefit";;;"Inconnue";"confesseur";"M";;;"peut être Dieulefit Bonnivard";"Bonne de Bourbon";1
1481;"Thomas Doibe confesseur de Bonne de Bourbon";"Thomas Doibe";;;"Inconnue";"confesseur";"M";;;;"Bonne de Bourbon";1
1482;"franciscain compagnon de Dieulefit confesseur";;;;"Inconnue";"religieux";"M";;;;"dieulefit confesseur de Bonne de Bourbon";1
1483;"Prince";;;;"Inconnue";;"M";;;;;1
1484;"frére du prince";;;;"Inconnue";;"M";;;;;1
1485;"bâtard du prince";;;;"Inconnue";"bâtard";"M";;;;;1
1486;"Boçu d'Amédée VII";"Navo";;;"Inconnue";;"M";;;;"7";1
1487;"Johan Cusel";"Johan Cusel";;;"Inconnue";"tondeur";"M";;;;;1
1488;"Bardier";"Bardier";;;"Inconnue";;"M";;;;;1
1489;"Dame Marie";"Marie";;;"Inconnue";"dame";"F";;;;;1
1490;"Johan Torboil";"Johan Torboil";;;"Inconnue";;"M";;;;;1
1491;"Beney";"Beney";;;"Inconnue";;"M";;;;;1
1492;"Johan l'Alemand chambrier du prince";"Johan l'Alemand";;;"Inconnue";"Chambrier";"M";;;;"prince";1
1493;"Olivier l'arbalètrier";"Olivier";;;"Inconnue";"arbalètrier";"M";;;;;1
1494;"Janin le chambrier de Bonne de Bourbon";"Janin";;;"Inconnue";"Chambrier";"M";;;"peut être johan de champeaux";"Bonne de Bourbon";1
1495;"Jacob clerc d'Antoine Maillet";"Jacob";;;"Inconnue";"clerc";"M";;;;"Antoine Maillet";1
1496;"valet de cuisine de Bonne de Bourbon";;;;"Inconnue";"valet de cuisine";"M";;;;;1
1497;"femme de la Guigoise";;;;"Inconnue";;"F";;;;"la Guigoise";1
1498;"valet de maître Bardier";;;;"Inconnue";"valet";"M";;;;;1
1499;"Humbert le charpentier";"Humbert";;;"Inconnue";"charpentier";"M";;;;;1
1500;"Fille d'Antoine Besson";;;;"Inconnue";;"F";;;;"Antoine Besson";1
1501;"Robert le queue";"Robert";;;"Inconnue";"cuisinier";"M";;;;;1
1502;"Goura le sellier";"Goura";;;"Inconnue";"sellier";"M";;;"peut être conrad le sellier";;1
1503;"Nicolas l'escoffier";"Nicolas";;;"Inconnue";"escoffier";"M";;;;;1
1504;"Picot Jolleyn";"Picot Jolleyn";;;"Inconnue";;"M";;;;;1
1506;"Jacquemet Damoyselle";"Jacquemet Damoyselle";;;"Inconnue";"couturier";"M";;;;;1
1507;"Aymé page d'Amédée VI";"Aymé";;;"Inconnue";"page";"M";;;;"6";1
1508;"femme de Gille d'Arlo";;;;"Inconnue";;"F";;;;;1
1509;"Ogier gardien de la garde robe Bourget Chambéry";"Ogier";;;"Inconnue";"gardien de la garde robe";"M";;;;;0
1510;"Columbert de Bochie écuyer d'Amédée VI";"Columbert de Bochie";;;"Inconnue";"écuyer";"M";;;;"6";1
1511;"Colin le giponier";"Colin";;;"Inconnue";"giponier";"M";;;;;1
1512;"Antoine le bâtard d'Amédée VI";"Antoine";;;"Inconnue";"bâtard";"M";;;;"6";1
1513;"valet d'Antoine le bâtard d'Amédée VI";;;;"Inconnue";"valet";"M";;;;;1
1514;"Nicolet Mercier de Laconey";"Nicolet Mercier";;;"Inconnue";;"M";;;;;1
1515;"Johan de Vyriou";"Johan de Vyriou";;;"Inconnue";;"M";;;;;1
1516;"Colin le chambrier de la reine de France";"Colin";;;"Inconnue";"chambrier";"M";;;;"reine de France";1
1517;"Vercon le charpentier";"Vercon";;;"Inconnue";"charpentier";"M";;;"pour borneaux de fontaine chambéry";;1
1518;"Sybile de Micet";"Sybile de Micet";;;"Inconnue";;"M";;;;;1
1519;"Aymon Parvane valet de mule";"Aymon Parvane";;;"Inconnue";"valet de mule";"M";;;;;1
1520;"Gérard Tripod";;;;"Inconnue";;"M";;;;;1
1521;"valet des franciscain";;;;"Inconnue";"valet";"M";;;;;1
1523;"Fille de Johan Joillet";;;;"Inconnue";;"F";;;;;1
1524;"Vieplat écuyer de Milan";"Vieplat";;;"Inconnue";"écuyer";"M";;;;;1
1525;"Bernard écuyer de Bonne de Bourbon";"Bernard";;;"Inconnue";"écuyer";"M";;;;"Bonne de Bourbon";1
1526;"Rolet valet de bouteillerie de Bonne de Bourbon";"Rolet";;;"Inconnue";"valet de bouteillerie";"M";;;;"Bonne de Bourbon";1
1527;"Pierre de Vallen";"Pierre de Vallen";;;"Inconnue";;"M";;;;;1
1528;"Muto de l'hôtel de Bonne de Bourbon";"Muto";;;"Inconnue";;"M";;;;"Bonne de Bourbon";1
1529;"Nicolas Parcheminier";"Nicolas Parcheminier";;;"Inconnue";"de la cuisine";"M";;;;"Bonne de Bourbon";1
1530;"Don Jacob junior valet des franciscain";"Jacob Junior";;;"Inconnue";"valet";"M";;;;;1
1531;"Valet de Barnabo de Milan";;;;"Inconnue";"valet";"M";;;;"Barnabo";1
1532;"Rosset secrétaire d'Amédée VI";"Rosset";;;"Inconnue";"secrétaire";"M";;;;"6";1
1533;"Gamot de la maréchalerie";"Gamot";;;"Inconnue";"maréchalerie";"M";;;;"Bonne de Bourbon";1
1534;"Femme de Martin valet de Guy Cathene";;;;"Inconnue";;"F";;;;"guigo cathene";1
1535;"Martin valet de Guy Cathene";"Martin";;;"Inconnue";"valet";"M";;;;"guigo cathene";1
1536;"Johan Barderio mâitre d'Amédée VII";"Johan Balderio";;;"Inconnue";"maître";"M";;;"il est déjà dans la liste sous un nom légèrement différent";"7";1
1537;"Grand Pillard";"Grand Pillard";;;"Inconnue";;"M";;;;;1
1538;"Charretier de l'hôtel de Bonne de Bourbon";;;;"Inconnue";"charretier";"M";;;;"Bonne de Bourbon";1
1539;"femme de Johan Huyset de Bellicio";;;;"Inconnue";;"F";;;;"Johan Huyset de Bellicio";1
1540;"Pierre Nichat patissier de Bonne de Bourbon";"Pierre Nichat";;;"Inconnue";"patissier";"M";;;;"Bonne de Bourbon";1
1541;"Nyna femme de Yanne le peintre";"Nyna";;;"Inconnue";;"F";;;;"yanne le peintre";1
1542;"Barnabo de Milan";"Barnabo de Milan";;;"Inconnue";;"M";;;;;1
1543;"Muline";"Muline";;;"Inconnue";;"M";;;;;1
1545;"Peronet Girard";"Peronet Girard";;;"Inconnue";;"M";;;;;1
1547;"Jacob de la panéterie";"Jacob";;;"Inconnue";"paneterie";"M";;;;;1
1548;"Utomais le charpentier";"Utomais";;;"Inconnue";"charpentier";"M";;;;;1
1549;"Henris de la cuisine";"Henris";;;"Inconnue";"cuisinier";"M";;;;;1
1550;"Peronette demoiselle de Marie de Montgelat";"Peronette";;;"Inconnue";"demoiselle";"M";;;;"Marie de Montgelat";1
1551;"Lionette de Ferata";"Lionette de Ferata";;;"Inconnue";;"F";;;"peut être Lionette la nourice d'amédée VII";;0
1552;"écuyer du duc de Bourbon";;;;"Inconnue";"écuyer";"M";;;;;1
1553;"Bochard de châtillon";"Bochard de châtillon";;;"Inconnue";"conseiller";"M";;;;"6";1
1554;"Johan de châtillon";"Johan de châtillon";;;"Inconnue";"conseiller";"M";;;;"6";1
1555;"Johan Lageret";"Johan Lageret";;;"Inconnue";"conseiller";"M";;;;"6";1
1556;"Philippe Brencio";"Philippe Brencio";;;"Inconnue";"conseiller";"M";;;;"6";1
1557;"Johan Paravisi";"Johan Paravisi";;;"Inconnue";"conseiller";"M";;;;"6";1
1558;"Guy de Servage";"Guy de Servage";;;"Inconnue";"religieux";"M";;;;"Bonne de Bourbon";1
1559;"Johan d'Alles";"Johan d'Alles";;;"Inconnue";;"M";;;;;1
1560;"Morerio le juif";"Morerio";;;"Inconnue";;"M";;;;;1
1561;"Anglia de Gerbais";"Anglia";;;"Inconnue";"dame";"M";;;"peit être dame anglia";;1
1562;"fou de Sybile de Cleremont";;;;"Inconnue";"fou";"M";;;;;1
1563;"Evêque de Belley";;;;"Inconnue";"religieux";"M";;;;;1
1564;"Roi valet de Pierre de Lompne";"Roi";;;"Inconnue";"valet";"M";;;;"pierre de lompne";1
1566;"Guy d'Orlié";"Guy d'Orlié";;;"Inconnue";;"M";;;;;1
1567;"femme de Johan Picard";;;;"Inconnue";;"F";;;;"johan picard";1
1568;"Couturier de chambéry";;;;"Inconnue";;"M";"Chambéry";;;;1
1569;"valet de Johan Parvane";;;;"Inconnue";"valet";"M";;;;"johan Parvane";1
1570;"Johan clerc de la chapelle de Bonne de Bourbon";"Johan";;;"Inconnue";"clerc de la chapelle";"M";;;;"Bonne de Bourbon";1
1571;"Reclu de Saint-Rembert";;;;"Inconnue";;"M";;;;;1
1572;"Bernarde femme d'Aymon de Montfalcon";;;;"Inconnue";;"F";;;"Aymon Montfalcon est-il le page d'Amédée VI";"aymon de Montfalcon";1
1573;"Cologne";"Cologne";;;"Inconnue";;"M";;;;;1
1574;"Jacquemet le fournier";"Jacquemet";;;"Inconnue";"fournier";"M";;;;"Bonne de Berry";1
1575;"Anserme de la cuisine de Bonne de Bourbon";"Anserme";;;"Inconnue";"de la cuisine";"M";;;;"Bonne de Bourbon";1
1576;"Chambrier d'Amédée VII";;;;"Inconnue";"chambrier";"M";;;;;1
1577;"Pierre clerc des homaunes de Bonne de Bourbon";;;;"Inconnue";"de la chapelle";"M";;;;"Bonne de Bourbon";1
1578;"Marie de Montgelat";"Marie de Montgelat";;;"Inconnue";;"F";;;;"Bonne de Bourbon";1
